...1,expr,time
1,collapse,16636384979
2,dplyr,29793176725
3,dplyr,29776822890
4,collapse,16964393846
5,dplyr,28637480263
6,collapse2,17491236594
7,collapse2,19537554704
8,collapse,16471991360
9,collapse,16394380882
10,dplyr,28944936722
11,collapse,17320447033
12,collapse2,16939973417
13,dplyr,30295834555
14,collapse,16421532032
15,collapse2,17434346704
16,collapse,18583011784
17,collapse2,17040488393
18,dplyr,29020779269
19,dplyr,28323138241
20,collapse2,17059793210
21,collapse,16865868971
22,dplyr,29716057408
23,collapse,16932995544
24,dplyr,28612817234
25,collapse2,17436926675
26,collapse2,19480423364
27,collapse2,17154789244
28,collapse,16478729612
29,dplyr,28886100262
30,collapse2,17948210487
1,dt,31939548261
2,dt,33902231453
3,dt,34570791691
4,dt,33080349928
5,dt,36365473371
6,dt,34891054626
7,dt,34895697527
8,dt,35198960295
9,dt,34650930820
10,dt,33760386942
1,duckdb,168915660
2,duckdb,161603548
3,duckdb,156816276
4,duckdb,158242516
5,duckdb,157061946
6,duckdb,156811516
7,duckdb,149565664
8,duckdb,156588106
9,duckdb,157085766
10,duckdb,159398287
1,polars,3923288731
2,polars,3810030220
3,polars,3804791598
4,polars,3798021236
5,polars,3806000649
6,polars,3846813903
7,polars,3803546988
8,polars,3830851747
9,polars,3823622345
10,polars,3828574617
